Programas,Empreendimentos,Latitude,Longitude,Nr_Contrato,Status,Tipo_Contrato_Dash
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Túnel Daher Cutait - Centro - Bairro,"-23,560638","-46,655219", 009/SIURB/2025,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Túnel João Paulo II (Sob o Vale do Anhangabaú) Aeroporto-Santana,"-23,547071","-46,637853", 009/SIURB/2025,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Túnel João Paulo II (Sob o Vale do Anhangabaú) Santana-Aeroporto,"-23,543706","-46,635753", 009/SIURB/2025,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Túnel José Roberto Fanganiello Melhem (Av. Paulista x Dr. Arnaldo),"-23,556268","-46,662297", 009/SIURB/2025,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto 25 de Março,"-23,548607","-46,626683",093/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto 25 de Março,"-23,548607","-46,626683",107/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Antônio Nakashima,"-23,548089","-46,628061",094/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Antônio Nakashima,"-23,548089","-46,628061",119/SIURB/2023,Concluído,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Armando Puglisi (Armandinho do Bexiga),"-23,562432","-46,645854",094/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Armando Puglisi (Armandinho do Bexiga),"-23,562432","-46,645854",194/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Beneficência Portuguesa (Antonio Ermirio de Moraes),"-23,568594","-46,640939",074/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Beneficência Portuguesa (Antonio Ermirio de Moraes),"-23,568594","-46,640939",125/SIURB/2022,Concluído,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Brigadeiro Luiz Antônio,"-23,551559","-46,637244",061/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Brigadeiro Luiz Antônio,"-23,551559","-46,637244",225/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Cidade de Osaka,"-23,556515","-46,635173",098/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Condessa de São Joaquim,"-23,558650","-46,638599",099/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Condessa de São Joaquim,"-23,558650","-46,638599",194/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Diário Popular,"-23,544837","-46,626407",075/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto do Café,"-23,551356","-46,646180",017/SPOBRAS/2025,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto do Café,"-23,551356","-46,646180",079/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto do Chá,"-23,546748","-46,637723",076/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Dona Paulina,"-23,552238","-46,636791",075/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Dona Paulina,"-23,552238","-46,636791",225/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Doutor Eusébio Stevaux,"-23,548917","-46,639083",101/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Doutor Eusébio Stevaux,"-23,548917","-46,639083",114/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Doutor Manuel José Chaves,"-23,552689","-46,636570",095/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Doutor Plínio de Queiroz,"-23,555663","-46,649717",080/SIURB/2020,Concluído,Projetos - Serviços
